7364.25023119 5115.98148637  5115.98148637 10870.5055107  	7622.90549789 5267.15253926  5267.15253926 11453.4094859  	8545.10181706 5909.29967576  5909.29967576 13651.1326155  	
5581.4191845 3787.11131642  3787.11131642 7833.22812696  	7538.23492463 5225.94048825  5225.94048825 11223.9986312  	19683.3885127 14270.2577227  14270.2577227 44361.3014741  	
1625.42847234 726.050876018  726.050876018 2441.02136045  	3474.47233457 2185.05851163  2185.05851163 6140.69548815  	49482.1262631 72448.2278956  72448.2278956 126018.330762  	
865.8706826 195.547903937  195.547903937 1201.68913752  	1916.67834631 867.177934467  867.177934467 2973.40793773  	50105.9019664 66025.6356217  66025.6356217 103617.401827  	
625.801332228 34.9933390204  34.9933390204 807.96469705  	1582.20371573 626.412822255  626.412822255 2349.83363579  	42181.6967513 54202.1059884  54202.1059884 88592.1183136  	
498.069227225 -42.4389605095  -42.4389605095 565.999567884  	1436.28525321 507.062510756  507.062510756 2150.82072404  	37737.7042935 47476.9199134  47476.9199134 80715.1363128  	
412.203839573 -74.9428451776  -74.9428451776 400.611116916  	1366.46705151 448.175821413  448.175821413 2061.87178337  	35466.0475406 43741.2354427  43741.2354427 76026.7464132  	
340.105030371 -86.213114998  -86.213114998 294.215146603  	1333.13720371 421.829070586  421.829070586 2025.37942484  	34252.322888 41643.7998383  41643.7998383 73245.7513744  	
272.734869928 -87.27435852  -87.27435852 223.245118823  	1321.56638653 414.517575246  414.517575246 2023.7225797  	33615.120295 40503.7505089  40503.7505089 71670.138238  	
214.778800318 -81.6333209886  -81.6333209886 177.220329464  	1326.61104807 420.633631067  420.633631067 2051.38297291  	33330.998478 39962.8444334  39962.8444334 70900.9588451  	
174.251290232 -73.7645437833  -73.7645437833 151.062438373  	1345.1863028 437.453817332  437.453817332 2104.78506942  	33298.589398 39840.1379774  39840.1379774 70717.7238204  	
152.131238049 -67.9822493988  -67.9822493988 139.499093359  	1371.19421217 460.466399768  460.466399768 2171.36790263  	33459.7793393 40027.8105463  40027.8105463 70974.1816024  	
143.249998911 -65.287232399  -65.287232399 137.428137405  	1396.98954586 483.557420911  483.557420911 2233.74081129  	33739.6896571 40408.9649776  40408.9649776 71501.4774996  	
142.030624357 -64.9325070571  -64.9325070571 140.561709635  	1418.40147377 503.177621745  503.177621745 2283.65363534  	34048.1688253 40853.8579261  40853.8579261 72113.9318776  	
144.836826639 -66.1384093249  -66.1384093249 146.08860559  	1435.06242859 518.972320769  518.972320769 2322.1178203  	34325.5435817 41271.5072594  41271.5072594 72683.9144375  	
149.732562489 -68.4813935718  -68.4813935718 152.544748612  	1448.09883855 531.8351016  531.8351016 2352.5723169  	34553.4687369 41625.5772508  41625.5772508 73161.9843018  	
155.773502269 -71.7713169348  -71.7713169348 159.290781348  	1458.71081592 542.70106135  542.70106135 2377.74660648  	34735.773807 41914.0504402  41914.0504402 73546.8809179  	
162.519716623 -75.9101139841  -75.9101139841 166.091193254  	1467.77814145 552.254344849  552.254344849 2399.37347237  	34882.3891998 42147.9798255  42147.9798255 73855.1362067  	
169.771140825 -80.8175137888  -80.8175137888 172.877586624  	1475.86848107 560.954684755  560.954684755 2418.53151203  	35002.7039544 42340.3578962  42340.3578962 74105.4245461  	
177.431662225 -86.4018946491  -86.4018946491 179.635465224  	1483.3260138 569.107305284  569.107305284 2435.91648535  	35103.9606532 42502.1741701  42502.1741701 74313.2289089  	
185.440545986 -92.5527949832  -92.5527949832 186.356187633  	1490.34673662 576.913567719  576.913567719 2451.98723815  	35191.3492623 42641.6839285  42641.6839285 74490.0203437  	
193.73958991 -99.1431524777  -99.1431524777 193.02046354  	1497.0288776 584.501762321  584.501762321 2467.04087208  	35268.460495 42764.734996  42764.734996 74643.8554689  	
202.260065315 -106.036147876  -106.036147876 199.59657735  	1503.40600166 591.946318939  591.946318939 2481.2573036  	35337.7115648 42875.304303  42875.304303 74780.2041336  	
210.920895117 -113.094077999  -113.094077999 206.044967979  	1509.47064714 599.281400705  599.281400705 2494.73206122  	35400.6781413 42975.9883843  42975.9883843 74902.6680469  	
219.632901644 -120.187371903  -120.187371903 212.324698565  	1515.19283998 606.511981347  606.511981347 2507.50399071  	35458.3468828 43068.4025017  43068.4025017 75013.5436165  	
228.305622034 -127.202183983  -127.202183983 218.399328154  	1520.53489735 613.623626469  613.623626469 2519.57900645  	35511.3103681 43153.4979958  43153.4979958 75114.2540245  	
236.854262927 -134.045505008  -134.045505008 224.240950953  	1525.46246344 620.591146194  620.591146194 2530.9491492  	35559.9178976 43231.8115969  43231.8115969 75205.6779775  	
245.205279183 -140.647415947  -140.647415947 229.832078789  	1529.95151051 627.385823869  627.385823869 2541.60620062  	35604.3884587 43303.6546336  43303.6546336 75288.3924196  	
253.299874431 -146.960748105  -146.960748105 235.165653645  	1533.99149912 633.980880024  633.980880024 2551.54985534  	35644.8894416 43369.2470664  43369.2470664 75362.8405656  	
261.095364211 -152.958821708  -152.958821708 240.243779197  	1537.58544549 640.355030597  640.355030597 2560.79124551  	35681.5852455 43428.8023115  43428.8023115 75429.436253  	
268.564756922 -158.632065174  -158.632065174 245.075799718  	1540.7479495 646.4942705  646.4942705 2569.3530831  	35714.6615251 43482.5715113  43482.5715113 75488.6175981  	
275.695095086 -163.984233267  -163.984233267 249.676231473  	1543.50222666 652.392227568  652.392227568 2577.26776146  	35744.3318776 43530.8578455  43530.8578455 75540.8642734  	
282.48511092 -169.028750145  -169.028750145 254.062870568  	1545.87696154 658.049529569  658.049529569 2584.57454919  	35770.8336466 43574.0116135  43574.0116135 75586.6921012  	
288.94265623 -173.785493001  -173.785493001 258.255234977  	1547.90350025 663.472614336  663.472614336 2591.31667642  	35794.4184134 43612.4153108  43612.4153108 75626.6363012  	
295.082230981 -178.278156171  -178.278156171 262.273379161  	1549.61362909 668.672330326  668.672330326 2597.53878157  	35815.3411689 43646.4655297  43646.4655297 75661.231537  	
300.922801908 -182.532212703  -182.532212703 266.137050253  	1551.03799262 673.662566301  673.662566301 2603.284924  	35833.85059 43676.5560175  43676.5560175 75690.9937575  	
306.485995529 -186.573417844  -186.573417844 269.865123869  	1552.20509086 678.459046764  678.459046764 2608.59719319  	35850.1815791 43703.0641218  43703.0641218 75716.406278  	
311.794675791 -190.426765211  -190.426765211 273.475251098  	1553.14074489 683.07835048  683.07835048 2613.51484738  	35864.5503504 43726.3413454  43726.3413454 75737.9107744  	
316.871872526 -194.115798306  -194.115798306 276.983654526  	1553.86791012 687.53715658  687.53715658 2618.0738743  	35877.1518411 43746.7078133  43746.7078133 75755.9028179  	
321.740005829 -197.662186708  -197.662186708 280.405022533  	1554.40672939 691.851693018  691.851693018 2622.30686066  	35888.1589894 43764.4499945  43764.4499945 75770.7310836  	
326.42034586 -201.085489794  -201.085489794 283.752463171  	1554.77473852 696.037349338  696.037349338 2626.24307044  	35897.7233713 43779.820873  43779.820873 75782.6992421  	
330.932651013 -204.403046443  -204.403046443 287.037489802  	1554.98715973 700.10841365  700.10841365 2629.90865224  	35905.976734 43793.0418058  43793.0418058 75792.0696221  	
335.294935442 -207.629944122  -207.629944122 290.270019595  	1555.05723779 704.077897735  704.077897735 2633.32691689  	35913.0330525 43804.3054266  43804.3054266 75799.0679018  	
