495.791079286 854.102116807 	494.75025944 855.198070604 	491.001274294 860.043265175 	
499.899332943 851.723243461 	494.991831253 854.889516752 	455.787388112 902.758758714 	
509.63861998 849.325693037 	504.629670574 855.079315773 	282.000718473 859.147686415 	
514.746051277 848.112760148 	507.337505886 849.384652059 	350.167232701 921.908855281 	
518.369330325 846.951229287 	509.364170863 849.019172037 	364.757798253 910.11574754 	
521.374093487 845.532593802 	510.728205248 849.830423936 	371.410749011 896.878778949 	
524.177556899 844.668029007 	511.403181196 850.384477679 	376.335509838 889.880489388 	
526.847289296 844.58164737 	511.651136507 850.710519016 	379.633434908 886.316670006 	
529.196977911 844.819140541 	511.578285977 850.913578039 	381.640931032 884.571071326 	
530.987258672 845.01458974 	511.199062902 851.079129591 	382.707756375 883.824431951 	
532.132736906 845.099928297 	510.533732284 851.244594963 	383.092313327 883.708754904 	
532.772544739 845.1582731 	509.725873187 851.385859824 	382.98650834 884.048617456 	
533.110809554 845.242126774 	508.982190691 851.46392386 	382.572413949 884.679853206 	
533.288174965 845.359398987 	508.398749745 851.481064219 	382.022358857 885.410588118 	
533.371894078 845.499954901 	507.960131911 851.463873196 	381.466364291 886.100984587 	
533.389083185 845.650903171 	507.623288407 851.433059773 	380.974840629 886.695620345 	
533.351811406 845.803062119 	507.354927866 851.398543738 	380.568062648 887.19191595 	
533.268127979 845.951931742 	507.134268201 851.363881538 	380.239164557 887.606717564 	
533.145481642 846.096164399 	506.948440073 851.329866778 	379.972430427 887.959651752 	
532.991349713 846.235683239 	506.788970826 851.29635167 	379.752306705 888.267446619 	
532.813184342 846.370365507 	506.649931965 851.263055921 	379.566337282 888.542827109 	
532.618289149 846.499437432 	506.5270218 851.229889713 	379.405429312 888.794877686 	
532.413682643 846.621423182 	506.417065054 851.197039417 	379.263280943 889.029728136 	
532.205905311 846.734422168 	506.317692728 851.164931851 	379.135691951 889.251225711 	
532.000777193 846.836507707 	506.227113534 851.134140335 	379.019967457 889.461527629 	
531.803165111 846.926090469 	506.1439459 851.105274685 	378.914444338 889.661614667 	
531.616827097 847.002155052 	506.067096967 851.07888468 	378.818125349 889.851728897 	
531.444372647 847.064343324 	505.995678755 851.055394122 	378.730403813 890.031730213 	
531.287337322 847.112907867 	505.928952394 851.035070319 	378.65086639 890.201364501 	
531.146340715 847.148583899 	505.866292146 851.018024295 	378.579163103 890.36044253 	
531.021285934 847.172429856 	505.807162404 851.004231971 	378.51493267 890.508938223 	
530.911563279 847.185674547 	505.75110255 850.993565861 	378.457769743 890.647022738 	
530.816232736 847.189592308 	505.697716199 850.985828805 	378.407220515 890.775054236 	
530.734172566 847.185413524 	505.646662699 850.98078431 	378.362794685 890.89354229 	
530.664191078 847.174268692 	505.597649793 850.978180834 	378.323984475 891.003102135 	
530.605104627 847.157159736 	505.550426946 850.977769388 	378.290284367 891.10440916 	
530.555787697 847.134951123 	505.504779248 850.979315062 	378.261207935 891.198159653 	
530.515201529 847.108373987 	505.46052193 850.982603563 	378.236300207 891.285040276 	
530.482407243 847.078037901 	505.417495609 850.987444042 	378.215145342 891.36570655 	
530.456568334 847.044446456 	505.375562316 850.993669311 	378.197370178 891.440769265 	
530.436946317 847.008014125 	505.334602327 851.001134363 	378.18264453 891.510787248 	
530.422892247 846.969082888 	505.294511791 851.009713888 	378.170679142 891.576264827 	
530.413836043 846.92793778 	505.25520106 851.019299266 	378.161222116 891.637652486 	
530.409274889 846.884821008 	505.21659365 851.029795346 	378.154054468 891.695349553 	
530.408761563 846.839944504 	505.178625722 851.041117248 	378.148985278 891.749707985 	
530.411893203 846.793500952 	505.141245953 851.053187294 	378.145846752 891.801036656 	
530.418300875 846.745673355 	505.104415688 851.065932161 	378.14448942 891.849605724 	
530.427640141 846.696643185 	505.068109242 851.079280328 	378.144777578 891.895650856 	
530.439582804 846.646597161 	505.032314218 851.093159836 	378.146585045 891.939377177 	
530.453809977 846.595732595 	504.997031718 851.107496451 	378.149791304 891.980962927 	
530.470006602 846.544261254 	504.962276308 851.122212252 	378.15427805 892.020562833 	
