727.902475852 1120.27795305 	747.179442505 1076.63577268 	731.070854772 1117.72554498 	
676.415009347 1103.80709658 	750.62126118 1091.85646948 	735.89265164 1119.24857649 	
574.665272225 1066.57076452 	754.286324113 1097.73537979 	741.124926798 1121.32129455 	
533.238175877 1058.84395528 	758.300125647 1102.05025893 	741.111669613 1121.00954592 	
515.625765797 1050.2042887 	762.128688748 1105.51445533 	741.122834929 1121.17441566 	
506.806001721 1044.46013993 	765.516258287 1108.22954955 	741.13361512 1121.31452233 	
502.465043782 1041.40754191 	768.501754096 1110.40690498 	741.138335038 1121.38969908 	
500.394155036 1039.92289238 	770.962074002 1112.05115076 	741.140403931 1121.42581872 	
499.425261213 1039.22630869 	772.718484076 1113.09012629 	741.14134264 1121.44258285 	
498.976527929 1038.9040451 	773.640629455 1113.51085819 	741.141774154 1121.45028464 	
498.769738742 1038.75575127 	773.779464855 1113.40618265 	741.14197293 1121.45381466 	
498.674673977 1038.68764831 	773.425023638 1112.95162463 	741.142064409 1121.45543234 	
498.631021239 1038.65639548 	772.925023544 1112.35346373 	741.142106456 1121.4561739 	
498.610987286 1038.64205721 	772.472126625 1111.76733166 	741.142125766 1121.45651392 	
498.601795282 1038.63547968 	772.077328324 1111.21711926 	741.142134629 1121.45666986 	
498.597578302 1038.6324624 	771.704831236 1110.67076526 	741.142138695 1121.45674139 	
498.595643805 1038.63107832 	771.326871453 1110.10817628 	741.142140561 1121.4567742 	
498.594756396 1038.63044342 	770.937033853 1109.59018817 	741.142141417 1121.45678924 	
498.594349321 1038.63015217 	770.595430407 1109.37109651 	741.14214181 1121.45679615 	
498.594162588 1038.63001858 	770.278707789 1109.37498622 	741.14214199 1121.45679931 	
498.59407692 1038.62995729 	769.905378159 1109.375 	741.142142019 1121.45680079 	
498.454457882 1038.59361211 	770.368803981 1109.375 	740.352497146 1121.78322835 	
496.97116261 1036.96761659 	769.98946421 1109.375 	740.039637265 1121.96483795 	
495.771455919 1035.77721292 	766.455684688 1109.375 	739.989290869 1122.08660662 	
494.832044835 1034.96217761 	761.021205393 1109.375 	740.153513403 1122.15884246 	
494.314133665 1034.48765364 	761.021205357 1109.375 	740.157078028 1122.17340913 	
494.100455483 1034.32365198 	761.021205357 1109.375 	740.157413673 1122.17754529 	
