299.037923493 633.307175375 	387.571251592 809.268446377 	357.811782426 727.364730697 	
299.033973555 633.311635313 	387.546052171 809.19147402 	357.808244828 727.362124402 	
299.030267959 633.315816303 	387.522340547 809.119128064 	357.804951683 727.359726786 	
299.026792418 633.319736385 	387.500033489 809.051139545 	357.801884945 727.357519338 	
299.023533292 633.323412313 	387.479051837 808.98725398 	357.799028018 727.355485355 	
299.020477598 633.326859669 	387.45932038 808.927230738 	357.796365625 727.35360975 	
299.017613012 633.33009296 	387.440767729 808.870842423 	357.793883696 727.351878886 	
299.014927862 633.333125711 	387.423326182 808.817874257 	357.791569263 727.350280417 	
299.012411114 633.33597054 	387.406931582 808.768123479 	357.789410365 727.348803167 	
299.010052354 633.338639229 	387.391523181 808.721398764 	357.787395962 727.347436999 	
299.007841765 633.34114279 	387.377043491 808.677519648 	357.78551586 727.346172715 	
299.005770105 633.343491521 	387.363438151 808.636315983 	357.783760638 727.345001961 	
299.003828683 633.345695055 	387.350655778 808.597627399 	357.782121585 727.343917142 	
299.002009329 633.347762411 	387.338647836 808.561302797 	357.780590642 727.342911346 	
299.00030437 633.349702033 	387.327368495 808.527199855 	357.779160349 727.341978275 	
298.998706607 633.351521835 	387.316774506 808.495184554 	357.777823796 727.34111219 	
298.997209281 633.35322923 	387.306825066 808.465130732 	357.776574577 727.340307851 	
298.995806059 633.354831167 	387.2974817 808.436919646 	357.775406755 727.339560473 	
298.994491 633.356334162 	387.288708138 808.410439567 	357.77431482 727.338865681 	
298.993258537 633.357744325 	387.2804702 808.385585385 	357.773293657 727.338219471 	
298.992103455 633.359067385 	387.272735688 808.362258236 	357.772338518 727.337618174 	
298.991020866 633.360308719 	387.265474278 808.340365149 	357.771444991 727.33705843 	
298.990006193 633.361473367 	387.258657417 808.319818709 	357.770608972 727.336537153 	
298.989055147 633.362566061 	387.252258231 808.300536738 	357.769826649 727.336051508 	
298.988163714 633.363591238 	387.246251426 808.282441993 	357.769094471 727.335598893 	
298.987328131 633.364553064 	387.240613206 808.265461879 	357.768409137 727.33517691 	
298.986544878 633.365455445 	387.235321184 808.249528177 	357.76776757 727.334783354 	
298.985810655 633.366302049 	387.230354306 808.234576791 	357.767166907 727.334416193 	
298.985122374 633.367096316 	387.225692773 808.220547503 	357.766604477 727.334073551 	
298.984477142 633.367841477 	387.221317971 808.207383744 	357.766077794 727.333753699 	
298.98387225 633.36854056 	387.217212401 808.19503238 	357.765584536 727.333455039 	
298.983305162 633.36919641 	387.213359615 808.183443506 	357.765122541 727.333176095 	
298.9827735 633.369811695 	387.209744155 808.172570255 	357.764689789 727.332915501 	
298.982275039 633.370388919 	387.206351496 808.162368614 	357.764284397 727.332671993 	
298.981807695 633.370930433 	387.20316799 808.152797259 	357.763904604 727.332444401 	
298.981369515 633.371438442 	387.200180816 808.143817385 	357.76354877 727.332231641 	
298.98095867 633.371915016 	387.197377929 808.135392564 	357.763215359 727.332032705 	
298.980573447 633.372362095 	387.194748017 808.127488593 	357.762902938 727.331846663 	
298.98021224 633.372781503 	387.192280453 808.120073365 	357.762610169 727.331672647 	
298.979873546 633.37317495 	387.189965259 808.113116742 	357.7623358 727.331509852 	
298.979555956 633.373544041 	387.187793064 808.106590432 	357.762078659 727.331357533 	
298.979258149 633.37389028 	387.18575507 808.100467883 	357.761837654 727.331214992 	
298.978978889 633.374215082 	387.183843014 808.09472417 	357.761611761 727.331081585 	
298.978717016 633.374519771 	387.182049141 808.089335902 	357.761400023 727.330956709 	
298.978471444 633.374805591 	387.180366168 808.084281126 	357.761201545 727.330839804 	
298.978241155 633.37507371 	387.178787259 808.07953924 	357.761015489 727.33073035 	
298.978025195 633.375325222 	387.177305998 808.075090909 	357.76084107 727.330627859 	
298.977822669 633.375561156 	387.17591636 808.07091799 	357.760677556 727.330531878 	
298.977632741 633.375782474 	387.174612693 808.067003456 	357.760524259 727.330441987 	
298.977454623 633.375990082 	387.173389689 808.063331332 	357.760380537 727.330357789 	
298.97728758 633.376184828 	387.172242368 808.059886626 	357.760245788 727.330278919 	
298.977130922 633.376367509 	387.171166055 808.056655271 	357.760119448 727.330205033 	
298.976984002 633.37653887 	387.170156365 808.05362407 	357.760000989 727.33013581 	
298.976846212 633.376699614 	387.169209181 808.050780637 	357.759889917 727.330070952 	
298.976716985 633.376850397 	387.168320639 808.048113353 	357.759785769 727.330010179 	
