1.40681845034 -0.326549995568 	-1.51040389906 -0.195580315497 	-0.170391552252 -1.1534445786 	
1.40688922543 -0.326463249061 	-1.50978996404 -0.196523050015 	-0.169450431736 -1.1536905773 	
1.40695841715 -0.326378412889 	-1.50919235124 -0.197440401739 	-0.16853202033 -1.15392989715 	
1.40702595615 -0.326295576243 	-1.50861172843 -0.198331425902 	-0.167637453878 -1.1541622602 	
1.40709177185 -0.326214829552 	-1.50804871752 -0.199195237143 	-0.166767818637 -1.1543874104 	
1.4071557946 -0.326136261798 	-1.50750387995 -0.200031032484 	-0.165924125984 -1.15460511946 	
1.4072179577 -0.326059958059 	-1.50697770433 -0.200838110934 	-0.165107290258 -1.15481519167 	
1.40727819921 -0.325985997303 	-1.50647059658 -0.201615889412 	-0.164318110117 -1.15501746767 	
1.40733646349 -0.32591445048 	-1.50598287254 -0.202363914851 	-0.16355725369 -1.15521182713 	
1.40739270253 -0.325845378917 	-1.50551475323 -0.203081872425 	-0.16282524766 -1.15539819034 	
1.40744687695 -0.32577883306 	-1.50506636249 -0.203769590007 	-0.162122470268 -1.15557651869 	
1.40749895682 -0.325714851549 	-1.50463772701 -0.20442703906 	-0.161449148125 -1.15574681428 	
1.40754892209 -0.32565346063 	-1.50422877844 -0.205054332279 	-0.160805356575 -1.15590911862 	
