0.358734537631 0.18972348899  0.18972348899 0.163404326959  	0.347420933403 0.165679389251  0.165679389251 0.135003805681  	0.141861170584 -0.0743229355009  -0.0743229355009 0.134387587408  	
0.30664753029 0.191812265156  0.191812265156 0.17649215432  	0.298082687822 0.150017566487  0.150017566487 0.118868945011  	0.101510641514 -0.0995839392613  -0.0995839392613 0.138946402475  	
0.278336886603 0.189894117531  0.189894117531 0.1833603821  	0.266362010405 0.12174942365  0.12174942365 0.0862300847741  	0.0996182007236 -0.101066862269  -0.101066862269 0.141574753774  	
0.259841614257 0.188032725486  0.188032725486 0.188747524551  	0.246454786733 0.0914516484762  0.0914516484762 0.0531213122824  	0.101653950807 -0.102546223798  -0.102546223798 0.142388678293  	
0.228256923859 0.17890737963  0.17890737963 0.1906494216  	0.22760451797 0.0682853216317  0.0682853216317 0.0334505438538  	0.102091926788 -0.102701838677  -0.102701838677 0.142347243346  	
0.178181509565 0.157656568891  0.157656568891 0.185488328883  	0.211076861252 0.0537111004141  0.0537111004141 0.0241582914996  	0.0989707427548 -0.100459853228  -0.100459853228 0.141059400784  	
0.127453625855 0.128916242014  0.128916242014 0.17169565283  	0.195687217323 0.0442858648919  0.0442858648919 0.0199329007317  	0.0930208453963 -0.0962621117738  -0.0962621117738 0.138679215798  	
0.0918822147272 0.103048990427  0.103048990427 0.155064231122  	0.180560234154 0.0371271984118  0.0371271984118 0.0180880792059  	0.0863213363597 -0.0913588558749  -0.0913588558749 0.135698663249  	
0.0696721614921 0.0839192725759  0.0839192725759 0.140944402376  	0.167746376244 0.0309438943549  0.0309438943549 0.0169742884249  	0.080455450491 -0.0870096193161  -0.0870096193161 0.133020764314  	
0.057180336651 0.0721820405071  0.0721820405071 0.131897992857  	0.161026734077 0.0264711385567  0.0264711385567 0.016165957171  	0.0757084393545 -0.0835190234839  -0.0835190234839 0.130947768292  	
0.0508062953528 0.0658984274918  0.0658984274918 0.126979267138  	0.160696361894 0.0240356159446  0.0240356159446 0.0157542064667  	0.0716869162134 -0.0805672382121  -0.0805672382121 0.129229207647  	
0.047481632015 0.0624463744611  0.0624463744611 0.124119520973  	0.163985153123 0.0228991740675  0.0228991740675 0.0156188858544  	0.0682431187527 -0.0780041288196  -0.0780041288196 0.127710908329  	
0.0455213524557 0.0602956594781  0.0602956594781 0.122184569009  	0.168357416268 0.0223414204499  0.0223414204499 0.0156047538953  	0.0653938633849 -0.0758369915308  -0.0758369915308 0.126385360831  	
0.0442197712794 0.0588068967169  0.0588068967169 0.120757466732  	0.17256241704 0.0220017886148  0.0220017886148 0.015630014378  	0.063122269436 -0.0740722646667  -0.0740722646667 0.125274220481  	
0.0432917543962 0.0577178746869  0.0577178746869 0.119673990211  	0.176175315449 0.0217427597674  0.0217427597674 0.0156631385203  	0.0613504662664 -0.0726720907926  -0.0726720907926 0.124373507338  	
0.0426095516417 0.0569054996856  0.0569054996856 0.118849657953  	0.179128438454 0.021520268419  0.021520268419 0.0156934874594  	0.0599803903887 -0.0715753394071  -0.0715753394071 0.123657054527  	
0.0421045553069 0.0562991117568  0.0562991117568 0.1182281558  	0.18148108064 0.0213224026997  0.0213224026997 0.0157180602584  	0.058923125546 -0.0707206578348  -0.0707206578348 0.123092209422  	
0.0417328006248 0.0558505827133  0.0558505827133 0.117766260481  	0.183326571008 0.0211461872543  0.0211461872543 0.0157365820841  	0.0581070668764 -0.0700558442345  -0.0700558442345 0.122648699816  	
0.0414627263528 0.0555238735443  0.0555238735443 0.117429248634  	0.18475832168 0.0209902151665  0.0209902151665 0.0157497039664  	0.0574765982322 -0.0695389864947  -0.0695389864947 0.122301161749  	
0.0412704316692 0.0552909780714  0.0552909780714 0.117189114642  	0.185858925522 0.0208528541542  0.0208528541542 0.0157583249036  	0.0569888274825 -0.0691370358446  -0.0691370358446 0.122029068139  	
0.0411374648447 0.0551299362752  0.0551299362752 0.117023466074  	0.186697761754 0.0207321047737  0.0207321047737 0.015763335266  	0.0566106895855 -0.0688240916603  -0.0688240916603 0.12181601859  	
0.0410495230656 0.0550235616918  0.0550235616918 0.116914591503  	0.187331576515 0.020625815729  0.020625815729 0.0157655251297  	0.0563167096608 -0.0685799348694  -0.0685799348694 0.121649003678  	
0.0409955395223 0.0549584749825  0.0549584749825 0.116848620823  	0.187806008709 0.0205318915846  0.0205318915846 0.015765559317  	0.056087291163 -0.068388843021  -0.068388843021 0.121517766958  	
0.0409669831352 0.0549243219499  0.0549243219499 0.116814784043  	0.188157319291 0.0204484213922  0.0204484213922 0.0157639798193  	0.0559073890714 -0.0682386369567  -0.0682386369567 0.121414269076  	
0.0409573048082 0.0549131342328  0.0549131342328 0.116804777993  	0.188414045377 0.0203737369706  0.0203737369706 0.0157612190013  	0.0557654741115 -0.0681199144711  -0.0681199144711 0.121332241482  	
0.040961497473 0.0549188106752  0.0549188106752 0.116812240266  	0.188598473926 0.0203064242963  0.0203064242963 0.0157576161663  	0.0556527243035 -0.0680254375833  -0.0680254375833 0.121266818284  	
0.0409757480497 0.0549367015075  0.0549367015075 0.116832321706  	0.188727902164 0.020245308343  0.020245308343 0.0157534340674  	0.0555623963685 -0.0679496465244  -0.0679496465244 0.121214236186  	
0.0409971639393 0.0549632786796  0.0549632786796 0.116861344715  	0.188815686025 0.0201894254036  0.0201894254036 0.0157488738451  	0.0554893392844 -0.0678882774053  -0.0678882774053 0.12117159293  	
0.0410235594887 0.0549958769637  0.0549958769637 0.116896533601  	0.188872094492 0.0201379914851  0.0201379914851 0.0157440878378  	0.0554296194559 -0.0678380636349  -0.0678380636349 0.121136655022  	
0.041053290227 0.0550324921914  0.0550324921914 0.116935803802  	0.18890499492 0.0200903715199  0.0200903715199 0.0157391901968  	0.0553802328823 -0.0677965041379  -0.0677965041379 0.121107706124  	
0.0410851247975 0.0550716249787  0.0550716249787 0.116977598358  	0.188920396153 0.0200460516867  0.0200460516867 0.0157342654801  	0.0553388847058 -0.0677616842783  -0.0677616842783 0.121083428457  	
0.0411181463973 0.0551121602697  0.0551121602697 0.117020761756  	0.188922874907 0.0200046156829  0.0200046156829 0.0157293754924  	0.0553038206937 -0.06773213801  -0.06773213801 0.121062810576  	
0.0411516771681 0.0551532748492  0.0551532748492 0.117064443055  	0.188915908085 0.0199657250025  0.0199657250025 0.0157245646619  	0.0552736985993 -0.0677067420635  -0.0677067420635 0.121045076019  	
0.0411852203441 0.0551943665509  0.0551943665509 0.117108021741  	0.188902130288 0.019929102879  0.019929102879 0.0157198642277  	0.0552474900669 -0.0676846348979  -0.0676846348979 0.121029628299  	
0.0412184160835 0.0552350002103  0.0552350002103 0.117151051156  	0.188883532502 0.019894521403  0.019894521403 0.0157152954766  	0.0552244058846 -0.0676651547244  -0.0676651547244 0.121016008634  	
0.0412510078092 0.055274866488  0.055274866488 0.117193215433  	0.188861614848 0.0198617912907  0.0198617912907 0.0157108722308  	0.0552038390581 -0.0676477921744  -0.0676477921744 0.12100386353  	
0.0412828166005 0.055313750558  0.055313750558 0.117234296771  	0.1888375037 0.0198307538171  0.0198307538171 0.0157066027507  	0.0551853214765 -0.067632154185  -0.067632154185 0.120992919968  	
0.0413137217381 0.0553515083354  0.0553515083354 0.117274150619  	0.18881204129 0.0198012744869  0.0198012744869 0.0157024911844  	0.0551684909305 -0.0676179364638  -0.0676179364638 0.120982966434  	
0.0413436459459 0.055388048456  0.055388048456 0.117312686896  	0.18878585414 0.0197732380859  0.0197732380859 0.0156985386678  	0.0551530660177 -0.0676049025064  -0.0676049025064 0.120973838437  	
0.0413725442106 0.0554233186381  0.0554233186381 0.117349855782  	0.188759405249 0.0197465448182  0.0197465448182 0.015694744157  	0.0551388270477 -0.067592867611  -0.067592867611 0.12096540745  	
0.0414003953247 0.0554572953762  0.0554572953762 0.117385637007  	0.188733033842 0.0197211072939  0.0197211072939 0.0156911050553  	0.0551256015137 -0.067581686705  -0.067581686705 0.120957572483  	
0.0414271955006 0.0554899761666  0.0554899761666 0.117420031777  	0.188706985619 0.019696848179  0.019696848179 0.0156876176842  	0.0551132530378 -0.0675712450725  -0.0675712450725 0.120950253653  	
0.0414529535568 0.0555213736545  0.0555213736545 0.117453056713  	0.188681435748 0.0196736983597  0.0196736983597 0.0156842776354  	0.0551016729557 -0.0675614512929  -0.0675614512929 0.120943387281  	
0.0414776872966 0.0555515112377  0.0555515112377 0.117484739298  	0.188656506327 0.0196515955059  0.0196515955059 0.0156810800333  	0.0550907739111 -0.0675522318611  -0.0675522318611 0.120936922157  	
0.0415014207928 0.0555804197732  0.0555804197732 0.117515114485  	0.188632279637 0.0196304829426  0.0196304829426 0.0156780197285  	0.0550804849756 -0.0675435270881  -0.0675435270881 0.120930816691  	
0.0415241823564 0.0556081351194  0.0556081351194 0.117544222159  	0.188608808193 0.0196103087616  0.0196103087616 0.0156750914397  	0.0550707479293 -0.0675352879746  -0.0675352879746 0.120925036734  	
0.0415460030237 0.0556346963084  0.0556346963084 0.117572105268  	0.188586122355 0.0195910251164  0.0195910251164 0.0156722898577  	0.0550615144242 -0.0675274738257  -0.0675274738257 0.120919553926  	
0.0415669154358 0.0556601441952  0.0556601441952 0.117598808433  	0.188564236091 0.0195725876611  0.0195725876611 0.0156696097194  	0.0550527438172 -0.0675200504291  -0.0675200504291 0.120914344417  	
0.041586953013 0.0556845204658  0.0556845204658 0.117624376946  	0.188543151327 0.0195549551005  0.0195549551005 0.0156670458598  	0.0550444015142 -0.0675129886616  -0.0675129886616 0.120909387908  	
0.0416061493526 0.0557078669154  0.0557078669154 0.117648856032  	0.188522861239 0.0195380888254  0.0195380888254 0.0156645932484  	0.0550364577017 -0.0675062634218  -0.0675062634218 0.120904666896  	
0.0416245377936 0.0557302249297  0.0557302249297 0.117672290331  	0.188503352724 0.0195219526159  0.0195219526159 0.0156622470128  	0.0550288863734 -0.0674998528114  -0.0674998528114 0.120900166115  	
0.0416421511079 0.0557516351184  0.0557516351184 0.117694723531  	0.188484608271 0.0195065123967  0.0195065123967 0.0156600024536  	0.0550216645817 -0.0674937375049  -0.0674937375049 0.120895872086  	
0.0416590212852 0.0557721370623  0.0557721370623 0.117716198117  	0.188466607347 0.0194917360332  0.0194917360332 0.0156578550524  	0.0550147718599 -0.0674879002639  -0.0674879002639 0.120891772786  	
0.0416751793887 0.055791769145  0.055791769145 0.117736755212  	0.188449327454 0.0194775931606  0.0194775931606 0.0156558004756  	0.0550081897754 -0.0674823255602  -0.0674823255602 0.120887857383  	
0.0416906554621 0.0558105684475  0.0558105684475 0.117756434477  	0.188432744896 0.0194640550381  0.0194640550381 0.0156538345741  	0.0550019015821 -0.0674769992842  -0.0674769992842 0.120884116031  	
0.0417054784759 0.0558285706888  0.0558285706888 0.11777527406  	0.188416835362 0.0194510944237  0.0194510944237 0.0156519533807  	0.0549958919486 -0.0674719085154  -0.0674719085154 0.120880539713  	
0.0417196763017 0.0558458102003  0.0558458102003 0.117793310577  	0.188401574349 0.0194386854656  0.0194386854656 0.0156501531062  	0.054990146745 -0.0674670413437  -0.0674670413437 0.120877120114  	
0.0417332757073 0.0558623199247  0.0558623199247 0.117810579122  	0.188386937467 0.0194268036065  0.0194268036065 0.0156484301338  	0.0549846528739 -0.067462386727  -0.067462386727 0.120873849524  	
0.0417463023664 0.0558781314325  0.0558781314325 0.117827113286  	0.188372900666 0.0194154254989  0.0194154254989 0.0156467810131  	0.0549793981359 -0.0674579343777  -0.0674579343777 0.120870720759  	
